version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v24,1,16,0,5,1,1,0,101,59.9,56.4,7,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t1.jsonl,22
v24,2,8,1,1,1,1,1,102,59.8,52.2,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t2.jsonl,19
v24,3,8,2,1,0,0,3,102,59.9,56.0,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t3.jsonl,3
v24,4,8,2,1,0,0,2,100,59.9,57.8,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t4.jsonl,16
v24,5,6,0,2,1,1,1,101,59.9,56.2,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t5.jsonl,11
v24,6,3,1,1,1,1,3,101,60.0,58.0,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t6.jsonl,9
v24,7,9,1,3,0,0,3,100,59.9,56.4,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t7.jsonl,18
v24,8,8,2,1,0,0,2,100,59.8,56.0,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t8.jsonl,6
v24,9,12,1,3,0,0,1,100,59.8,45.1,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t9.jsonl,15
v24,10,5,1,1,1,1,1,99,59.8,47.5,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t10.jsonl,10
v24,11,8,2,1,0,0,0,100,59.6,48.0,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t11.jsonl,12
v24,12,7,2,1,0,0,3,100,59.7,47.8,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t12.jsonl,0
v24,13,10,1,3,0,0,1,100,59.6,41.9,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t13.jsonl,14
v24,14,16,0,4,1,1,2,99,59.9,55.8,7,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t14.jsonl,26
v24,15,12,1,1,0,0,0,100,59.5,45.7,5,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t15.jsonl,9
v24,16,2,2,1,1,1,3,99,59.8,52.4,3,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t16.jsonl,0
v24,17,8,0,3,1,1,2,99,59.9,55.5,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t17.jsonl,22
v24,18,21,0,5,1,1,5,100,59.8,53.1,9,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t18.jsonl,21
v24,19,11,0,4,1,1,0,99,59.9,52.4,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t19.jsonl,22
v24,20,5,1,1,1,1,2,99,59.8,50.4,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t20.jsonl,3
v24,21,5,2,1,1,1,2,99,59.9,57.9,4,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t21.jsonl,9
v24,22,8,1,1,1,1,3,98,59.3,38.0,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t22.jsonl,18
v24,23,8,1,1,1,1,2,99,59.8,50.0,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t23.jsonl,8
v24,24,10,1,1,1,1,2,99,59.7,43.9,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t24.jsonl,13
v24,25,18,0,5,1,1,7,99,60.0,57.8,9,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t25.jsonl,19
v24,26,9,1,1,1,1,1,100,59.7,48.0,5,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t26.jsonl,17
v24,27,8,1,1,0,0,0,98,59.6,43.5,6,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t27.jsonl,13
v24,28,17,1,4,0,0,3,99,59.4,31.9,7,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t28.jsonl,16
v24,29,13,0,5,1,1,8,100,59.9,57.7,9,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t29.jsonl,23
v24,30,11,0,4,1,1,6,99,59.9,56.4,7,passive,custom-c2738ec4-135,survival,0,v24-custom-c2738ec4-135-t30.jsonl,27
v24,8,10,1,3,0,0,3,97,59.7,48.6,6,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t8.jsonl,22
v24,1,2,2,1,0,0,2,98,60.0,57.6,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t1.jsonl,0
v24,2,5,1,1,1,1,2,97,59.7,44.0,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t2.jsonl,0
