version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v27,1,6,2,1,0,0,0,101,59.9,56.0,4,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t1.jsonl,20
v27,2,20,0,5,1,1,5,99,60.0,59.7,8,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t2.jsonl,21
v27,3,3,1,1,1,1,2,100,59.9,56.2,3,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t3.jsonl,16
v27,4,12,2,1,0,0,2,100,59.9,56.2,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t4.jsonl,10
v27,5,8,1,1,1,1,2,100,59.9,56.4,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t5.jsonl,10
v27,6,5,2,1,0,0,2,100,59.9,56.0,4,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t6.jsonl,15
v27,7,9,1,1,0,0,0,100,59.7,42.5,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t7.jsonl,22
v27,8,3,1,2,1,1,0,100,59.8,43.6,3,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t8.jsonl,13
v27,9,14,1,1,0,0,0,99,59.4,45.3,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t9.jsonl,20
v27,10,10,1,3,0,0,2,99,59.7,47.7,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t10.jsonl,15
v27,11,7,1,3,1,1,0,98,60.0,59.8,4,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t11.jsonl,14
v27,12,16,1,4,0,0,4,99,59.7,42.0,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t12.jsonl,15
v27,13,10,2,1,0,0,0,99,59.6,48.0,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t13.jsonl,0
v27,14,5,1,1,1,1,2,98,59.9,56.3,4,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t14.jsonl,0
v27,15,14,1,4,0,0,4,99,59.9,58.2,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t15.jsonl,0
v27,16,14,0,4,1,1,4,98,60.0,58.1,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t16.jsonl,0
v27,17,11,0,4,1,1,0,99,59.9,54.3,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t17.jsonl,0
v27,18,11,1,4,0,0,5,99,59.8,46.5,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t18.jsonl,0
v27,19,16,0,4,1,1,1,99,59.9,58.1,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t19.jsonl,0
v27,20,12,1,3,0,0,1,99,59.7,48.6,6,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t20.jsonl,0
v27,21,20,0,5,1,1,4,99,60.0,57.6,9,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t21.jsonl,0
v27,22,16,0,4,1,1,3,98,60.0,57.8,7,passive,custom-c2738ec4-135,survival,0,v27-custom-c2738ec4-135-t22.jsonl,0
