version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v22.8,9,14,14,0,1,1,71,101,57.9,49.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t9-noaim.jsonl,0
v22.8,10,14,14,0,1,1,71,101,58.1,47.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t10-noaim.jsonl,0
v22.8,11,13,14,0,1,1,72,101,58.0,41.2,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t11-noaim.jsonl,0
v22.8,12,14,15,0,0,0,71,102,59.3,52.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t12-noaim.jsonl,0
v22.8,13,14,14,0,1,1,71,101,57.7,39.5,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t13-noaim.jsonl,0
v22.8,14,14,14,0,1,1,71,100,57.8,44.3,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t14-noaim.jsonl,0
v22.8,15,13,14,0,1,1,72,101,58.0,41.6,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t15-noaim.jsonl,0
v22.8,16,14,14,0,1,1,71,102,58.0,45.9,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t16-noaim.jsonl,0
v22.8,17,13,14,0,1,1,72,101,57.7,35.8,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t17-noaim.jsonl,0
v22.8,18,13,14,0,1,1,72,100,57.6,34.2,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t18-noaim.jsonl,0
v22.8,19,14,14,0,1,1,71,101,57.5,31.9,72,passive-nofire,custom-5f697a3b-742,campaign,1,v22.8-custom-5f697a3b-742-t19-noaim.jsonl,0
