version,trial,kills,deaths,wave,alive,hp,enemyCount,durationSec,avgFps,minFps,maxEnemies,botType,levelId,mode,aimbotOff,jsonlFile,corrBuckets
v24,1,1,0,1,1,1,2,101,59.9,56.5,3,hunter,custom-a6b7c90f-813,survival,0,v24-custom-a6b7c90f-813-t1.jsonl,1
v24,2,1,1,1,1,1,3,102,59.9,53.0,3,hunter,custom-a6b7c90f-813,survival,0,v24-custom-a6b7c90f-813-t2.jsonl,0
v24,3,0,3,1,0,0,0,101,59.8,55.8,3,hunter,custom-a6b7c90f-813,survival,0,v24-custom-a6b7c90f-813-t3.jsonl,0
v24,4,1,1,1,0,0,0,100,59.9,56.1,3,hunter,custom-a6b7c90f-813,survival,0,v24-custom-a6b7c90f-813-t4.jsonl,0
v24,1,3,0,2,1,1,4,101,60.0,58.1,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t1.jsonl,3
v24,2,6,0,2,1,1,1,102,59.9,56.4,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t2.jsonl,11
v24,3,13,0,4,1,1,7,101,59.9,53.4,7,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t3.jsonl,23
v24,4,1,2,1,1,1,0,101,59.6,50.0,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t4.jsonl,0
v24,5,4,0,2,1,1,3,99,59.9,56.2,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t5.jsonl,15
v24,6,5,0,2,1,1,2,99,60.0,56.7,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t6.jsonl,16
v24,7,5,0,2,1,1,2,99,60.0,57.9,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t7.jsonl,16
v24,8,8,1,3,0,0,5,99,59.7,40.6,6,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t8.jsonl,17
v24,9,1,0,1,1,1,2,98,59.9,56.1,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t9.jsonl,0
v24,10,4,1,1,1,1,1,101,59.7,44.0,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t10.jsonl,15
v24,11,5,0,2,1,1,2,99,59.9,51.7,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t11.jsonl,17
v24,12,12,1,3,0,0,1,99,59.8,53.3,6,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t12.jsonl,15
v24,13,13,0,4,1,1,7,99,60.0,58.8,7,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t13.jsonl,20
v24,14,12,0,3,1,1,1,100,60.0,59.5,6,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t14.jsonl,10
v24,15,2,0,1,1,1,1,99,60.0,57.8,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t15.jsonl,12
v24,16,6,0,2,1,1,1,100,59.9,56.0,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t16.jsonl,11
v24,17,2,0,1,1,1,1,100,59.9,58.7,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t17.jsonl,0
v24,18,2,0,1,1,1,1,99,59.9,55.4,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t18.jsonl,0
v24,19,0,0,1,1,1,3,98,60.0,57.8,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t19.jsonl,4
v24,20,0,0,1,1,1,3,100,60.0,59.4,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t20.jsonl,1
v24,21,1,0,1,1,1,2,99,59.9,55.8,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t21.jsonl,1
v24,22,6,0,2,1,1,1,100,59.9,55.0,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t22.jsonl,22
v24,23,6,1,1,0,0,0,100,59.3,36.8,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t23.jsonl,13
v24,24,5,1,1,1,1,1,99,59.8,46.7,4,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t24.jsonl,7
v24,25,2,0,1,1,1,1,99,60.0,57.8,3,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t25.jsonl,1
v24,26,11,0,3,1,1,2,99,59.9,54.5,6,hunter,custom-c69c5ff7-f4e,survival,0,v24-custom-c69c5ff7-f4e-t26.jsonl,26
